Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Discovery_Year
Kepler-1094b,,0.284,78.1000231,,,transit,4470.0,1.14,6112.0,2016
Kepler-1095b,,0.108,4.27103091,,,transit,2470.0,0.94,5658.0,2016
Kepler-1096b,,0.111,2.89221751,,,transit,1120.0,0.66,4306.0,2016
Kepler-1097b,,0.291,187.747029,,,transit,2410.0,0.82,5211.0,2016
Kepler-1098b,,0.116,2.54307286,,,transit,2860.0,0.99,5794.0,2016
Kepler-1099b,,0.252,2.16845259,,,transit,3940.0,1.01,5837.0,2016
Kepler-1100b,,0.156,6.42200058,,,transit,3100.0,1.21,6247.0,2016
Kepler-1101b,,0.22,81.3151059,,,transit,2930.0,0.94,5614.0,2016
Kepler-1102b,,0.237,51.3285623,,,transit,3220.0,0.96,5724.0,2016
Kepler-1103b,,0.203,19.79191978,,,transit,3000.0,1.11,6092.0,2016
Kepler-1104b,,0.11,5.03728015,,,transit,1680.0,1.3,6417.0,2016
Kepler-1105b,,0.179,4.42157218,,,transit,1200.0,0.71,4299.0,2016
Kepler-1106b,,0.147,1.25275217,,,transit,3810.0,1.11,6104.0,2016
Kepler-1107b,,0.12,0.57103852,,,transit,1490.0,0.86,5268.0,2016
Kepler-1108b,,0.13,4.51005748,,,transit,2490.0,0.88,5406.0,2016
Kepler-1109b,,0.195,37.6467384,,,transit,2600.0,1.05,5893.0,2016
Kepler-1110b,,0.237,9.69312032,,,transit,2370.0,0.73,4781.0,2016
Kepler-1111b,,0.178,8.79617863,,,transit,3720.0,1.1,6077.0,2016
Kepler-1112b,,0.269,14.36267939,,,transit,5660.0,1.34,6496.0,2016
Kepler-1113b,,0.251,42.3004954,,,transit,3680.0,1.12,5931.0,2016
Kepler-1114b,,0.12,14.97435694,,,transit,1390.0,0.87,5374.0,2016
Kepler-1115b,,0.152,23.5540725,,,transit,3050.0,1.6,8480.0,2016
Kepler-1116b,,0.227,41.6977827,,,transit,3320.0,0.95,5641.0,2016
Kepler-1117b,,0.099,4.79028459,,,transit,2020.0,0.95,5612.0,2016
Kepler-1118b,,0.244,38.6715075,,,transit,2670.0,0.96,5688.0,2016
Kepler-1119b,,0.171,8.3265153,,,transit,4200.0,1.11,6083.0,2016
Kepler-1120b,,0.123,2.94902905,,,transit,2070.0,0.78,4904.0,2016
Kepler-1121b,,0.17,13.15141081,,,transit,1730.0,1.29,6231.0,2016
Kepler-1122b,,0.182,42.1917357,,,transit,3010.0,0.92,5544.0,2016
Kepler-1123b,,0.149,4.33946454,,,transit,2600.0,0.93,5500.0,2016
Kepler-1124b,,0.114,2.85234897,,,transit,580.0,0.35,3658.0,2016
Kepler-1125b,,0.164,17.6700642,,,transit,3000.0,0.95,5683.0,2016
Kepler-1126b,,0.154,108.593329,,,transit,2180.0,0.92,5798.0,2016
Kepler-1127b,,0.175,5.12330347,,,transit,3250.0,0.97,5664.0,2016
Kepler-1128b,,0.326,61.6178167,,,transit,3790.0,0.94,5543.0,2016
Kepler-1129b,,0.264,24.3397804,,,transit,4100.0,1.0,5831.0,2016
Kepler-1129c,,0.244,76.5369586,,,transit,4100.0,1.0,5831.0,2016
Kepler-1130b,,0.071,5.45298175,,,transit,760.0,0.9,5403.0,2016
Kepler-1131b,,0.142,3.53232449,,,transit,3620.0,1.03,5851.0,2016
Kepler-1132b,,0.21,62.8916228,,,transit,3100.0,0.87,5298.0,2016
Kepler-1133b,,0.176,11.55562343,,,transit,2680.0,0.93,5569.0,2016
Kepler-1134b,,0.236,17.13263989,,,transit,3250.0,0.84,5281.0,2016
Kepler-1135b,,0.165,76.957857,,,transit,2370.0,0.96,5656.0,2016
Kepler-1136b,,0.146,2.36172433,,,transit,1780.0,0.72,4512.0,2016
Kepler-1137b,,0.196,23.9210791,,,transit,3170.0,1.5,6807.0,2016
Kepler-1138b,,0.152,3.17060005,,,transit,3590.0,0.95,5582.0,2016
Kepler-1139b,,0.106,0.81316672,,,transit,1810.0,0.94,5550.0,2016
Kepler-1140b,,0.247,24.0862707,,,transit,2140.0,0.76,4850.0,2016
Kepler-1141b,,0.073,2.34451194,,,transit,1190.0,1.01,5791.0,2016
Kepler-1142b,,0.131,18.3027248,,,transit,2270.0,0.97,5685.0,2016
Kepler-1143b,,0.149,2.88890485,,,transit,2060.0,0.81,5053.0,2016
Kepler-1143c,,0.321,210.630591,,,transit,2060.0,0.81,5053.0,2016
Kepler-1144b,,0.178,17.14647302,,,transit,3300.0,0.98,5753.0,2016
Kepler-1145b,,0.125,3.97076766,,,transit,2330.0,0.79,5064.0,2016
Kepler-1146b,,0.11,2.3522658,,,transit,2260.0,0.74,4692.0,2016
Kepler-1147b,,0.233,10.62784997,,,transit,4810.0,1.09,5941.0,2016
Kepler-1148b,,0.151,1.10446351,,,transit,2220.0,0.81,5054.0,2016
Kepler-1149b,,0.128,3.73089898,,,transit,3340.0,1.02,5833.0,2016
Kepler-1150b,,0.091,2.78786839,,,transit,1220.0,0.76,4754.0,2016
Kepler-1151b,,0.198,65.6478424,,,transit,2490.0,0.88,5470.0,2016
Kepler-1152b,,0.078,1.64680191,,,transit,600.0,0.55,3964.0,2016
Kepler-1153b,,0.154,1.75583533,,,transit,3860.0,0.91,5470.0,2016
Kepler-1154b,,0.209,5.1856142,,,transit,4990.0,1.26,6327.0,2016
Kepler-1154c,,0.211,8.45808312,,,transit,4990.0,1.26,6327.0,2016
Kepler-1155b,,0.181,33.469743,,,transit,3220.0,1.03,5842.0,2016
Kepler-1156b,,0.118,11.89520511,,,transit,2480.0,1.0,5778.0,2016
Kepler-1157b,,0.097,4.45743164,,,transit,1130.0,0.76,4679.0,2016
Kepler-1158b,,0.209,13.5396293,,,transit,4100.0,1.41,6203.0,2016
Kepler-1159b,,0.211,22.70816791,,,transit,4040.0,1.19,6217.0,2016
Kepler-1160b,,0.191,7.97034958,,,transit,4220.0,0.92,5519.0,2016
Kepler-1161b,,0.19,10.71252541,,,transit,1400.0,0.59,4253.0,2016
Kepler-1162b,,0.197,32.5637069,,,transit,3230.0,0.89,5390.0,2016
Kepler-1163b,,0.092,6.11786898,,,transit,1590.0,1.22,6302.0,2016
Kepler-1164b,,0.1,3.97599768,,,transit,1460.0,0.85,5183.0,2016
Kepler-1165b,,0.138,9.478522,,,transit,3530.0,1.13,6080.0,2016
Kepler-1166b,,0.151,33.2406882,,,transit,2110.0,0.9,5446.0,2016
Kepler-1167b,,0.153,1.00393374,,,transit,2650.0,0.79,4971.0,2016
Kepler-1168b,,0.223,55.8226539,,,transit,2970.0,0.87,5157.0,2016
Kepler-1169b,,0.084,6.11009134,,,transit,1750.0,1.24,6191.0,2016
Kepler-1170b,,0.215,9.98969327,,,transit,2970.0,0.8,5069.0,2016
Kepler-1171b,,0.228,1.44259224,,,transit,2010.0,1.58,7044.0,2016
Kepler-1172b,,0.285,26.0204423,,,transit,4210.0,0.92,5558.0,2016
Kepler-1173b,,0.079,0.7698536,,,transit,1310.0,0.86,5252.0,2016
Kepler-1174b,,0.142,6.89225223,,,transit,2700.0,1.04,5936.0,2016
Kepler-1175b,,0.267,37.94563,,,transit,4060.0,0.9,5453.0,2016
Kepler-1176b,,0.219,24.1738579,,,transit,3340.0,1.01,5844.0,2016
Kepler-1177b,,0.17,106.247547,,,transit,2700.0,0.98,5712.0,2016
Kepler-1178b,,0.095,31.80634,,,transit,1100.0,0.8,4990.0,2016
Kepler-1179b,,0.118,2.68505749,,,transit,1480.0,0.84,5212.0,2016
Kepler-1180b,,0.178,16.8601286,,,transit,4190.0,1.09,6077.0,2016
Kepler-1181b,,0.14,4.89337519,,,transit,2830.0,1.17,6176.0,2016
Kepler-1182b,,0.215,11.17394617,,,transit,4100.0,1.04,5924.0,2016
Kepler-1183b,,0.252,28.5057189,,,transit,4490.0,1.0,5765.0,2016
Kepler-1184b,,0.239,53.5991044,,,transit,3890.0,1.05,5983.0,2016
Kepler-1185b,,0.119,104.3518976,,,transit,970.0,0.96,5622.0,2016
Kepler-1186b,,0.199,16.07677615,,,transit,3630.0,0.95,5635.0,2016
Kepler-1187b,,0.233,18.87064068,,,transit,3360.0,1.06,5975.0,2016
Kepler-1188b,,0.186,17.1369543,,,transit,3920.0,1.04,5913.0,2016
Kepler-1189b,,0.158,3.78858982,,,transit,2880.0,1.11,6012.0,2016
Kepler-1190b,,0.119,10.45843441,,,transit,1250.0,0.76,4730.0,2016
Kepler-1191b,,0.135,5.60014851,,,transit,2860.0,0.85,5308.0,2016
Kepler-1192b,,0.211,25.2034787,,,transit,3610.0,0.86,5438.0,2016
Kepler-1193b,,0.118,2.83265213,,,transit,2270.0,1.08,5908.0,2016
Kepler-1194b,,0.135,16.22371307,,,transit,2010.0,0.94,5590.0,2016
Kepler-1195b,,0.186,8.49642241,,,transit,2650.0,0.74,4965.0,2016
Kepler-1196b,,0.199,66.1849031,,,transit,3090.0,0.98,5756.0,2016
Kepler-1197b,,0.112,2.03231845,,,transit,1650.0,0.78,4708.0,2016
Kepler-1198b,,0.131,7.6847716,,,transit,2530.0,0.93,5517.0,2016
Kepler-1199b,,0.103,15.0447198,,,transit,1800.0,0.94,5889.0,2016
Kepler-1200b,,0.095,1.11854972,,,transit,1890.0,0.74,4612.0,2016
Kepler-1201b,,0.204,15.18725932,,,transit,3920.0,1.15,6177.0,2016
Kepler-1202b,,0.262,28.6851324,,,transit,4540.0,1.03,5834.0,2016
Kepler-1203b,,0.095,0.58800076,,,transit,880.0,0.64,4105.0,2016
Kepler-1204b,,0.272,85.7350285,,,transit,4180.0,1.03,5825.0,2016
Kepler-1205b,,0.126,1.07839035,,,transit,2500.0,0.84,5226.0,2016
Kepler-1206b,,0.146,1.21699766,,,transit,2630.0,0.8,4877.0,2016
Kepler-1207b,,0.145,13.68237119,,,transit,3090.0,1.06,5909.0,2016
Kepler-1208b,,0.207,11.08507637,,,transit,2860.0,0.8,5001.0,2016
Kepler-1209b,,0.135,25.369116,,,transit,1820.0,1.23,6210.0,2016
Kepler-1210b,,0.152,8.07124073,,,transit,3770.0,0.94,5568.0,2016
Kepler-1211b,,0.227,11.01816836,,,transit,4850.0,0.96,5705.0,2016
Kepler-1212b,,0.191,12.94130146,,,transit,4250.0,1.1,6051.0,2016
Kepler-1213b,,0.106,5.34982412,,,transit,2230.0,1.14,6050.0,2016
Kepler-1214b,,0.211,18.82634264,,,transit,2470.0,0.85,5130.0,2016
Kepler-1215b,,0.109,4.76703963,,,transit,2290.0,0.95,5616.0,2016
Kepler-1216b,,0.124,4.37034536,,,transit,3670.0,0.99,5743.0,2016
Kepler-1217b,,0.178,2.03232507,,,transit,4450.0,1.06,5905.0,2016
Kepler-1218b,,0.128,22.9221266,,,transit,2180.0,1.06,5986.0,2016
Kepler-1219b,,0.189,16.10467749,,,transit,2030.0,1.25,5944.0,2016
Kepler-1220b,,0.136,7.42693741,,,transit,3120.0,1.0,5842.0,2016
Kepler-1221b,,0.168,12.00096042,,,transit,2960.0,0.87,5194.0,2016
Kepler-1222b,,0.07,1.91694425,,,transit,1480.0,0.84,5239.0,2016
Kepler-1223b,,0.109,16.301259,,,transit,1480.0,0.8,4870.0,2016
Kepler-1224b,,0.119,13.32351601,,,transit,1890.0,1.18,6155.0,2016
Kepler-1225b,,0.162,7.01075434,,,transit,4050.0,1.13,6140.0,2016
Kepler-1226b,,0.129,17.2923453,,,transit,2540.0,1.02,5923.0,2016
Kepler-1227b,,0.204,94.2887577,,,transit,2180.0,0.97,5747.0,2016
Kepler-1228b,,0.137,0.57736958,,,transit,1780.0,0.78,5063.0,2016
Kepler-1229b,,0.125,86.828989,,,transit,770.0,0.54,3784.0,2016
Kepler-1230b,,0.242,9.95661537,,,transit,4670.0,1.06,5961.0,2016
Kepler-1231b,,0.127,10.41725184,,,transit,3090.0,1.01,5778.0,2016
Kepler-1232b,,0.172,26.7839183,,,transit,2400.0,0.92,5471.0,2016
Kepler-1233b,,0.232,45.1263042,,,transit,4180.0,1.16,6198.0,2016
Kepler-1234b,,0.251,11.94014029,,,transit,2820.0,0.8,4967.0,2016
Kepler-1235b,,0.07,4.16055856,,,transit,1740.0,0.93,5541.0,2016
Kepler-1236b,,0.191,31.0571618,,,transit,3520.0,0.86,5337.0,2016
Kepler-1237b,,0.255,84.5733226,,,transit,3660.0,0.94,5472.0,2016
Kepler-1238b,,0.172,4.14787559,,,transit,5000.0,1.3,6386.0,2016
Kepler-1239b,,0.259,5.19104016,,,transit,8190.0,1.4,6564.0,2016
Kepler-1240b,,0.103,4.8663815,,,transit,2000.0,0.98,5682.0,2016
Kepler-1241b,,0.235,18.5525701,,,transit,3050.0,0.84,5261.0,2016
Kepler-1242b,,0.202,13.62798432,,,transit,2220.0,0.77,4895.0,2016
Kepler-1243b,,0.156,16.8320729,,,transit,2860.0,0.96,5667.0,2016
Kepler-1244b,,0.12,3.70428172,,,transit,2490.0,1.46,6680.0,2016
Kepler-1245b,,0.128,4.35409304,,,transit,2810.0,0.86,5306.0,2016
Kepler-1245c,,0.128,2.93658468,,,transit,2810.0,0.86,5306.0,2016
Kepler-1246b,,0.121,11.32271513,,,transit,1420.0,0.73,4611.0,2016
Kepler-1247b,,0.208,13.71220213,,,transit,3570.0,0.86,5303.0,2016
Kepler-1248b,,0.105,7.46725407,,,transit,1800.0,1.21,6149.0,2016
Kepler-1249b,,0.212,24.3347127,,,transit,5460.0,1.19,6202.0,2016
Kepler-1250b,,0.171,2.60754383,,,transit,4470.0,0.99,5717.0,2016
Kepler-1251b,,0.164,45.0904643,,,transit,2810.0,0.92,5545.0,2016
Kepler-1252b,,0.149,15.0540329,,,transit,2700.0,1.06,5949.0,2016
Kepler-1253b,,0.119,68.8861915,,,transit,1300.0,0.97,5850.0,2016
Kepler-1254b,,0.138,9.99113313,,,transit,2200.0,0.78,4985.0,2016
Kepler-1254c,,0.116,3.60084276,,,transit,2200.0,0.78,4985.0,2016
Kepler-1254d,,0.117,5.72717226,,,transit,2200.0,0.78,4985.0,2016
Kepler-1255b,,0.207,36.2919336,,,transit,4380.0,1.08,6018.0,2016
Kepler-1256b,,0.133,12.4127754,,,transit,2810.0,1.17,6129.0,2016
Kepler-1257b,,0.136,2.66831376,,,transit,3530.0,0.9,5502.0,2016
Kepler-1258b,,0.077,0.98494017,,,transit,2120.0,0.99,5839.0,2016
Kepler-1259b,,0.128,0.66308526,,,transit,2300.0,0.8,5053.0,2016
Kepler-1260b,,0.158,19.1187753,,,transit,3400.0,1.06,5961.0,2016
Kepler-1261b,,0.202,48.4308991,,,transit,2590.0,0.82,5006.0,2016
Kepler-1262b,,0.162,8.67900242,,,transit,3760.0,0.99,5771.0,2016
Kepler-1263b,,0.102,4.55139967,,,transit,2270.0,0.84,5213.0,2016
Kepler-1264b,,0.105,0.96852602,,,transit,2650.0,0.99,5791.0,2016
Kepler-1265b,,0.12,6.49441289,,,transit,1890.0,0.71,4630.0,2016
Kepler-1266b,,0.23,28.474748,,,transit,2940.0,0.8,5044.0,2016
Kepler-1267b,,0.269,13.0313945,,,transit,5310.0,1.15,6096.0,2016
Kepler-1268b,,0.181,40.9903986,,,transit,4590.0,1.06,5904.0,2016
Kepler-1269b,,0.145,37.3331536,,,transit,2300.0,1.1,5998.0,2016
Kepler-1270b,,0.296,6.03356196,,,transit,3930.0,1.28,5047.0,2016
Kepler-1271b,,0.132,3.0255955,,,transit,2890.0,1.13,6143.0,2016
Kepler-1272b,,0.211,51.1309704,,,transit,2920.0,1.06,5926.0,2016
Kepler-1273b,,0.222,28.625653,,,transit,4420.0,0.94,5566.0,2016
Kepler-1274b,,0.127,6.98152703,,,transit,1990.0,1.45,6179.0,2016
Kepler-1275b,,0.132,3.65691115,,,transit,4200.0,1.23,6296.0,2016
Kepler-1276b,,0.106,12.5720095,,,transit,1910.0,1.14,6188.0,2016
Kepler-1277b,,0.143,40.8365012,,,transit,1980.0,0.94,5578.0,2016
Kepler-1278b,,0.09,3.23941344,,,transit,2420.0,1.11,6074.0,2016
Kepler-1279b,,0.156,23.4774101,,,transit,3320.0,1.21,6221.0,2016
Kepler-1280b,,0.167,66.5579057,,,transit,3280.0,1.2,6227.0,2016
Kepler-1281b,,0.146,3.11602791,,,transit,3600.0,0.87,5353.0,2016
Kepler-1282b,,0.138,2.13194651,,,transit,3670.0,0.92,5504.0,2016
Kepler-1283b,,0.17,12.9460978,,,transit,4740.0,1.16,6175.0,2016
Kepler-1284b,,0.108,0.66407381,,,transit,2780.0,0.84,5123.0,2016
Kepler-1285b,,0.087,14.7967458,,,transit,1190.0,1.2,6170.0,2016
Kepler-1286b,,0.192,11.25402929,,,transit,3800.0,1.0,5753.0,2016
Kepler-1287b,,0.137,11.47685909,,,transit,3350.0,0.96,5715.0,2016
Kepler-1288b,,0.1,2.76122421,,,transit,2330.0,1.2,6132.0,2016
Kepler-1289b,,0.136,7.99019627,,,transit,3450.0,1.1,6080.0,2016
Kepler-1290b,,0.127,4.69500134,,,transit,4310.0,0.95,5660.0,2016
Kepler-1291b,,0.148,8.63043276,,,transit,3200.0,0.84,5216.0,2016
Kepler-1292b,,0.162,3.27646405,,,transit,4590.0,0.95,5556.0,2016
Kepler-1293b,,0.087,5.57654784,,,transit,2500.0,1.18,6241.0,2016
Kepler-1294b,,0.285,115.6862258,,,transit,3700.0,0.99,5776.0,2016
Kepler-1295b,,0.138,3.81371974,,,transit,4100.0,0.92,5486.0,2016
Kepler-1296b,,0.081,8.3839865,,,transit,2060.0,0.87,5359.0,2016
Kepler-1297b,,0.087,1.68189002,,,transit,3250.0,0.99,5818.0,2016
Kepler-1298b,,0.117,7.12811928,,,transit,1620.0,1.45,6339.0,2016
Kepler-1299b,,0.266,19.9400874,,,transit,4410.0,0.94,5609.0,2016
Kepler-1300b,,0.122,22.2419092,,,transit,2470.0,1.29,6130.0,2016
Kepler-1301b,,0.125,9.08237046,,,transit,2660.0,0.85,5188.0,2016
Kepler-1302b,,0.128,8.83922659,,,transit,2370.0,0.86,5236.0,2016
Kepler-1303b,,0.127,7.56127224,,,transit,2950.0,1.01,5771.0,2016
Kepler-1304b,,0.204,16.1288853,,,transit,2220.0,0.85,5259.0,2016
Kepler-1305b,,0.168,13.5630972,,,transit,4380.0,0.97,5701.0,2016
Kepler-1306b,,0.17,16.29595382,,,transit,3700.0,0.98,5727.0,2016
Kepler-1307b,,0.22,18.01621096,,,transit,4550.0,1.06,5884.0,2016
Kepler-1308b,,0.046,2.10433812,,,transit,240.0,0.35,3468.0,2016
Kepler-1309b,,0.211,28.8432647,,,transit,2760.0,0.85,5235.0,2016
Kepler-1310b,,0.128,0.67933627,,,transit,1900.0,0.91,5549.0,2016
Kepler-1311b,,0.111,11.1726994,,,transit,2300.0,1.05,5748.0,2016
Kepler-1311c,,0.109,2.53573424,,,transit,2300.0,1.05,5748.0,2016
Kepler-1312b,,0.187,5.44832529,,,transit,990.0,0.99,5719.0,2016
Kepler-1313b,,0.157,3.83309118,,,transit,610.0,0.92,5453.0,2016
Kepler-1314b,,0.456,5.42474928,,,transit,1510.0,0.6,4188.0,2016
Kepler-1315b,,0.123,0.84338011,,,transit,1650.0,0.8,4861.0,2016
Kepler-1316b,,0.316,87.9732136,,,transit,2460.0,1.04,5884.0,2016
Kepler-1317b,,0.139,0.56887443,,,transit,2390.0,0.83,5144.0,2016
Kepler-1318b,,0.277,213.257663,,,transit,1550.0,0.73,4598.0,2016
Kepler-1319b,,0.12,2.88676265,,,transit,370.0,0.56,3655.0,2016
Kepler-1320b,,0.152,0.86838653,,,transit,2510.0,0.8,4817.0,2016
Kepler-1321b,,0.439,11.12830484,,,transit,1780.0,0.54,4094.0,2016
Kepler-1321c,,0.214,2.22649109,,,transit,1780.0,0.54,4094.0,2016
Kepler-1322b,,0.144,0.96286738,,,transit,3970.0,0.9,5488.0,2016
Kepler-1323b,,0.136,0.92990668,,,transit,1700.0,1.18,6169.0,2016
Kepler-1324b,,0.135,4.11584468,,,transit,1700.0,0.78,4776.0,2016
Kepler-1325b,,0.255,33.8786838,,,transit,3110.0,0.93,5550.0,2016
Kepler-1326b,,0.373,42.3514267,,,transit,3000.0,1.45,6725.0,2016
Kepler-1327b,,0.161,14.88801098,,,transit,2240.0,1.02,5885.0,2016
Kepler-1328b,,0.087,4.52158888,,,transit,2100.0,1.0,5780.0,2016
Kepler-1329b,,0.194,9.33646594,,,transit,2040.0,0.72,4500.0,2016
Kepler-1330b,,0.147,10.10769068,,,transit,3060.0,0.97,5608.0,2016
Kepler-1331b,,0.094,0.78916165,,,transit,1190.0,0.72,4508.0,2016
Kepler-1332b,,0.122,11.87456832,,,transit,1680.0,0.95,5581.0,2016
Kepler-1333b,,0.251,109.6471842,,,transit,3120.0,0.94,5628.0,2016
Kepler-1334b,,0.204,15.64591713,,,transit,3410.0,0.94,5614.0,2016
Kepler-1335b,,0.129,6.26406846,,,transit,2050.0,0.77,4903.0,2016
Kepler-1336b,,0.177,23.198681,,,transit,2680.0,0.94,5512.0,2016
Kepler-1336c,,0.153,5.77721211,,,transit,2680.0,0.94,5512.0,2016
Kepler-1337b,,0.215,24.4002549,,,transit,1920.0,0.7,4523.0,2016
Kepler-1338b,,0.082,0.93511806,,,transit,2020.0,1.04,5909.0,2016
Kepler-1339b,,0.063,1.34155513,,,transit,870.0,0.94,5586.0,2016
Kepler-1340b,,0.138,0.66502692,,,transit,4630.0,1.27,6331.0,2016
Kepler-1341b,,0.267,132.9968322,,,transit,1520.0,0.79,4662.0,2016
Kepler-1342b,,0.148,2.21571036,,,transit,3070.0,0.93,5527.0,2016
Kepler-1343b,,0.172,3.35183158,,,transit,4260.0,0.95,5759.0,2016
Kepler-1344b,,0.164,4.7683049,,,transit,2780.0,1.09,5981.0,2016
Kepler-1345b,,0.211,44.6169557,,,transit,3800.0,1.32,6449.0,2016
Kepler-1346b,,0.141,3.40165668,,,transit,3660.0,1.14,6133.0,2016
Kepler-1347b,,0.092,14.00947528,,,transit,1050.0,0.82,5193.0,2016
Kepler-1348b,,0.173,27.5722742,,,transit,3370.0,1.04,5911.0,2016
Kepler-1349b,,0.062,2.12823928,,,transit,850.0,1.16,6086.0,2016
Kepler-1350b,,0.225,4.4968604,,,transit,1100.0,0.55,3827.0,2016
Kepler-1350c,,0.154,1.76678906,,,transit,1100.0,0.55,3827.0,2016
Kepler-1351b,,0.058,0.91614077,,,transit,790.0,0.7,4439.0,2016
Kepler-1352b,,0.079,1.87788275,,,transit,2080.0,1.11,6118.0,2016
Kepler-1353b,,0.161,24.7543966,,,transit,1940.0,0.76,4776.0,2016
Kepler-1354b,,0.265,76.613377,,,transit,3450.0,1.16,6168.0,2016
Kepler-1355b,,0.13,1.28958811,,,transit,3140.0,0.88,5352.0,2016
Kepler-1356b,,0.136,0.63400294,,,transit,2870.0,0.82,5106.0,2016
Kepler-1357b,,0.114,3.0091324,,,transit,3350.0,0.93,5597.0,2016
Kepler-1358b,,0.1,7.06317341,,,transit,1820.0,0.82,5181.0,2016
Kepler-1359b,,0.252,59.4970952,,,transit,2180.0,0.78,4709.0,2016
Kepler-1360b,,0.303,40.5286413,,,transit,4580.0,1.51,6778.0,2016
Kepler-1361b,,0.077,3.57554956,,,transit,1320.0,0.83,5131.0,2016
Kepler-1362b,,0.232,136.205626,,,transit,2500.0,0.8,4857.0,2016
Kepler-1363b,,0.112,2.94194094,,,transit,1820.0,0.76,4839.0,2016
Kepler-1364b,,0.192,13.32196237,,,transit,3750.0,1.49,6805.0,2016
Kepler-1365b,,0.082,7.69993485,,,transit,1760.0,1.0,5770.0,2016
Kepler-1365c,,0.071,4.77468005,,,transit,1760.0,1.0,5770.0,2016
Kepler-1366b,,0.128,2.16457097,,,transit,1290.0,0.62,4070.0,2016
Kepler-1367b,,0.082,1.57409027,,,transit,1160.0,0.62,4106.0,2016
Kepler-1368b,,0.147,0.67564949,,,transit,5700.0,1.07,5906.0,2016
Kepler-1369b,,0.24,25.873148,,,transit,4030.0,0.99,5761.0,2016
Kepler-1370b,,0.164,20.2641684,,,transit,2860.0,1.19,6202.0,2016
Kepler-1370c,,0.113,7.44142113,,,transit,2860.0,1.19,6202.0,2016
Kepler-1371b,,0.065,3.4462039,,,transit,1500.0,0.87,5361.0,2016
Kepler-1371c,,0.057,2.00541269,,,transit,1500.0,0.87,5361.0,2016
Kepler-1372b,,0.113,1.31155557,,,transit,3790.0,0.98,5677.0,2016
Kepler-1373b,,0.103,1.29123275,,,transit,3630.0,1.22,6299.0,2016
Kepler-1374b,,0.204,10.65276707,,,transit,3700.0,0.85,5323.0,2016
Kepler-1375b,,0.155,3.3004192,,,transit,4040.0,1.47,6704.0,2016
Kepler-1376b,,0.094,5.30880656,,,transit,2820.0,0.98,5659.0,2016
Kepler-1377b,,0.112,0.74092842,,,transit,3320.0,0.86,5218.0,2016
Kepler-1378b,,0.196,11.95398936,,,transit,1830.0,0.7,4407.0,2016
Kepler-1379b,,0.116,0.88184115,,,transit,3100.0,0.83,5188.0,2016
Kepler-1380b,,0.128,10.3108245,,,transit,3940.0,0.96,5570.0,2016
Kepler-1381b,,0.201,25.3842686,,,transit,4260.0,0.96,5747.0,2016
Kepler-1382b,,0.168,16.3583055,,,transit,2400.0,1.36,6161.0,2016
Kepler-1383b,,0.126,13.9093583,,,transit,3130.0,1.26,6370.0,2016
Kepler-1384b,,0.173,15.36262753,,,transit,2020.0,0.78,4919.0,2016
Kepler-1385b,,0.076,2.88879862,,,transit,1720.0,1.15,5732.0,2016
Kepler-1386b,,0.111,6.73972381,,,transit,2730.0,1.02,5733.0,2016
Kepler-1387b,,0.083,2.27952666,,,transit,1600.0,0.82,5046.0,2016
Kepler-1388b,,0.231,12.2854603,,,transit,1600.0,0.63,4098.0,2016
Kepler-1388c,,0.202,5.53608151,,,transit,1600.0,0.63,4098.0,2016
Kepler-1388d,,0.255,20.9568158,,,transit,1600.0,0.63,4098.0,2016
Kepler-1388e,,0.219,37.6327084,,,transit,1600.0,0.63,4098.0,2016
Kepler-1389b,,0.158,99.2530951,,,transit,1700.0,0.81,5078.0,2016
Kepler-1390b,,0.105,6.48021673,,,transit,2500.0,0.98,5753.0,2016
Kepler-1391b,,0.15,54.4092333,,,transit,2350.0,1.03,5840.0,2016
Kepler-1392b,,0.175,15.1410397,,,transit,3640.0,0.88,5479.0,2016
Kepler-1393b,,0.071,2.44357812,,,transit,1510.0,0.95,5697.0,2016
Kepler-1394b,,0.124,3.93766373,,,transit,2700.0,1.64,6481.0,2016
Kepler-1395b,,0.071,3.78470649,,,transit,1650.0,1.17,6138.0,2016
Kepler-1396b,,0.185,18.2206421,,,transit,4030.0,1.18,6195.0,2016
Kepler-1397b,,0.153,47.449955,,,transit,2500.0,1.09,6026.0,2016
Kepler-1398b,,0.08,2.78815679,,,transit,2590.0,1.13,6126.0,2016
Kepler-1398c,,0.092,4.13827595,,,transit,2590.0,1.13,6126.0,2016
Kepler-1399b,,0.112,1.63865306,,,transit,4100.0,0.97,5735.0,2016
Kepler-1400b,,0.145,9.06689421,,,transit,2870.0,0.83,5044.0,2016
Kepler-1401b,,0.15,11.20066445,,,transit,4050.0,1.07,5964.0,2016
Kepler-1402b,,0.068,2.03387914,,,transit,2220.0,0.9,5416.0,2016
Kepler-1403b,,0.191,5.19492202,,,transit,5870.0,1.11,6060.0,2016
Kepler-1404b,,0.179,15.9314739,,,transit,3090.0,0.84,5261.0,2016
Kepler-1405b,,0.353,28.2274184,,,transit,5230.0,1.05,5925.0,2016
Kepler-1406b,,0.098,11.62905828,,,transit,1910.0,1.05,5892.0,2016
Kepler-1407b,,0.201,20.0711504,,,transit,4160.0,1.1,6010.0,2016
Kepler-1408b,,0.079,2.99793191,,,transit,1390.0,1.21,6170.0,2016
